 DisAngs Files AvLag Error DF
0 2.271792592592593 CV4.293688 -0.036704731476200785 0.08258660727387994 -0.0
1 2.4900846560846563 CV4.70626 -0.03992109956040488 0.0709262091614089 5.2
2 2.726210582010582 CV5.152538 -0.002621334602802738 0.09866832956199895 8.4
3 2.9860957671957675 CV5.643721 -0.002739132562715146 0.09762279521564908 8.8
4 3.2566978835978837 CV6.155159 -0.0029295663356297096 0.08504139201225824 9.3
5 3.50592380952381 CV6.626196 -0.0009537104108183979 0.11494119325880586 9.6
6 3.7532449735449736 CV7.093633 -0.001294655048983564 0.08830010863510471 9.8
7 3.9966587301587304 CV7.553685 -0.0022901719430079726 0.1229030304456387 10.1
8 4.516768783068783 CV8.536693 0.0004967064622742906 0.11663598876961347 10.4
9 5.010596825396825 CV9.470028 0.001237471291109193 0.11712128607549398 10.1
10 5.388000000000001 CV10.18332 0.0006141104146052912 0.11876484969633502 9.9
